commonName,lat,lon,NbDocks,geometry,Station_number,Community
"Bank of England Museum, Bank",51.514441,-0.087587,16,POINT (702075.1039451705 5711056.914529928),1201,1
"Craven Street, Strand",51.508103,-0.126021,23,POINT (699436.5934784916 5710246.767487884),1160,3
"Goswell Road (City Uni), Finsbury",51.528246,-0.101026,17,POINT (701081.9843391203 5712554.736951834),1222,1
"Lower Marsh, Waterloo",51.500139,-0.113936,17,POINT (700309.9964152314 5709394.3320089225),1219,2
"Grosvenor Square, Mayfair",51.51217,-0.150481,17,POINT (697721.9183971774 5710632.548091174),10627,3
"St. George Street, Mayfair",51.51196,-0.142783,18,POINT (698256.8784178469 5710630.034773718),1221,3
"Macclesfield Rd, St Lukes",51.529423,-0.097122,28,POINT (701347.530573712 5712696.339062954),1226,1
"Greycoat Street , Westminster",51.494591,-0.134234,17,POINT (698925.6242408394 5708722.116563433),10623,3
"Northumberland Avenue, Strand",51.506767,-0.123702,37,POINT (699603.328780533 5710104.553017837),1097,3
"Howland Street, Fitzrovia",51.520994,-0.139016,30,POINT (698478.9215536857 5711644.672899664),2691,0
"High Holborn , Covent Garden",51.516226,-0.124826,20,POINT (699483.9996090948 5711153.157806039),1229,0
"Butler Place, Westminster",51.497829,-0.13544,18,POINT (698827.8289020646 5709078.846000216),2662,3
"Howick Place, Westminster",51.496753,-0.138733,27,POINT (698603.9851784738 5708950.270472279),2666,3
"Waterloo Station 2, Waterloo",51.503919,-0.113426,48,POINT (700328.8019102656 5709815.995108536),2692,1
"Store Street, Bloomsbury",51.519572,-0.13214,32,POINT (698962.0500481067 5711505.252687159),3507,0
"City Road, Angel",51.530344,-0.100168,47,POINT (701132.2355936889 5712790.355687371),2690,1
"Millennium Hotel, Mayfair",51.510919,-0.151126,27,POINT (697682.5892949575 5710491.715465748),1230,3
"Harrowby Street, Marylebone",51.517372,-0.164207,16,POINT (696747.2507808659 5711173.911362118),2680,0
"Harriet Street, Knightsbridge",51.500241,-0.15934,25,POINT (697158.8335180253 5709282.341746918),2681,3
"King Edward Walk, Waterloo",51.49775,-0.10988,22,POINT (700601.9475052847 5709139.831892676),2639,2
"Waterloo Station 1, Waterloo",51.504027,-0.113864,36,POINT (700297.9366144529 5709826.8034642935),2696,1
"Millbank Tower, Pimlico",51.491884,-0.125674,24,POINT (699531.525412826 5708444.454331138),2683,3
"Waterloo Bridge, South Bank",51.505354,-0.113656,15,POINT (700306.547090664 5709974.911073448),2648,0
"Stanhope Gate, Mayfair",51.506864,-0.150666,21,POINT (697732.0659247618 5710042.1132977335),3506,3
"Charlotte Street, Fitzrovia",51.51953,-0.135777,14,POINT (698709.9580700608 5711490.696136245),2669,0
